PO_NUMBER,SO_NUMBER,STATUS,BLOCK_CODE,BLOCK_REASON,FAILURE_REASON,RFC_ERROR_CODE,RFC_MESSAGE,SALES_ORG,CUSTOMER_NAME,SOURCE_FILE,RUN_TIMESTAMP,_extracted_at,_source_table
BE25-00614,0001536543,SUCCESS,,,,,,2500,VF Verpackungen GmbH,BestellungBE25-00614_20260211164808.475_X.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
BE25-00763,0001536544,SUCCESS,,,,,,2500,VF Verpackungen GmbH,Niederwieser (Sold-to 4020000825 - Material 11284).pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
I34/0000578,0001536655,SUCCESS,,,,,,2540,Sistemas Técnicos del Accesorio y,I34-578 (1).pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
P175040,0001536564,SUCCESS,,,,,,2500,Legrand Elektrik Sanayi A.S.,Sold-to 4020001469 - Material 44141.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
P176469,0001536565,SUCCESS,,,,,,2500,Legrand Elektrik Sanayi A.S.,Sold-to 4020001469 - Material 5953.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
PA2026143,0001536500,SUCCESS,,,,,,2780,Planet Asia Pte Ltd,PA2026143 Envalior Durethan ECO grade.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
PO-04900,0001536566,SUCCESS,,,,,,2700,SECO TECHNOLOGY SDN BHD,PO-04900 ENVALIOR_AAMkAGEz.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
PO27582,0001536567,SUCCESS,,,,,,2600,NEATON AUTO PRODUCTS MFG,scan_carinna.denlinger_2026-06-26-14-17-47_AAMkAGEz.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
1014235576,0001536568,SUCCESS,,,,,,2700,上海莫仕连接器有限公司,Molex PO1014235576_20251211_042446.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
121020132410,0001536545,SUCCESS,,,,,,2730,FOXCONN (KUNSHAN) COMPUTER CONNECTOR CO,FOXCONN (Sold-to 4020010339 - Materials 16552+47206+61262+61457)_AQMkAGEz.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
121080108821,0001536592,SUCCESS,,,,,,2730,Fuyu Electronical Technology (Huaian),eb64c858-c12f-442b-bc25-4903f43ad751.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
1242188,0001536569,SUCCESS,,,,,,2500,ABB Cable Management Products Ltd,Sold-to 4020028890 - Material 40696_AQMkAGEz.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
2053,0001536570,SUCCESS,,,,,,2545,Ergotech SRL,Sold-to 4020000140 - Material 966.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
37669,0001536571,SUCCESS,,,,,,2500,STEBRO PLAST AB,Sold-to 4020032023 - Material 20413.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
H266078-HEY-260602,0001536593,SUCCESS,,,,,,2701,海星科技(深圳)有限公司 海星科技(深圳)有限公司,H266078-HEY-260602.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
I34/0000576,0001536519,SUCCESS,,,,,,2540,Sistemas Técnicos del Accesorio y,I34-576.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
RA99966,0001536594,SUCCESS,,,,,,2500,Parker Hannifin EMEA Sàrl,Sold-to 4020030130 - Material 40670_AQMkAGEz.pdf,2026-09-02T20:10:09.782143,2026-09-02T20:10:09.819777,Touchless Sales Order View (o_custom_PoExtractionResults)
